;商品コード,商品名,システム区分,マスター区分,在庫管理,実績管理,単位,入数,規格・型番,色,ｻｲｽﾞ,商品区分１コード,商品区分２コード,商品区分３コード,商品区分４コード,商品区分５コード,税区分,税込区分,単価小数桁,数量小数桁,標準価格,原価,売価１,売価２,売価３,売価４,売価５,倉庫コード,主仕入先コード,在庫単価,仕入単価,売上計算式,仕入計算式,商品項目１,商品項目２,商品項目３,使用区分,商品ｺｰﾄﾞ2,商品ｺｰﾄﾞ3,入数小数桁,箱数小数桁,数量端数,有効期間開始日,有効期間終了日,コメント,商品名２,単位区分２入数,単位区分２単位,単位区分２単位コメント,単位区分３入数,単位区分３単位,単位区分３単位コメント,単位区分４入数,単位区分４単位,単位区分４単位コメント,単位区分５入数,単位区分５単位,単位区分５単位コメント,売上単位区分,仕入単位区分,ロット管理,仕入税込区分,売上税種別,仕入税種別,税種別切替
000000,,0,0,1,0,,0,,,,0090,0099,0099,0000,0000,2,0,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000001,再請求コード（経理部用）,1,0,0,1,個,0,,,,0000,0099,0000,0000,0000,2,0,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000002,追加代引回収額,1,0,0,0,件,0,,,,0090,0004,0097,0000,0000,2,1,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,1,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,1,0,0,1
000003,再振替手数料,1,0,1,0,件,0,,,,0000,0099,0099,0000,0000,2,0,0,0,500,350,500,500,400,0,0,0000,,0,0,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000004,ﾃﾞｰﾀｺﾝﾊﾞｰﾄ料,0,0,1,0,件,0,,,,0030,0040,0007,0000,0000,2,0,0,0,0,30000,0,0,0,0,0,0000,,0,30000,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000005,再請求コード（営業管理部用）,1,0,0,1,個,0,,,,0000,0099,0000,0000,0000,2,1,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,1,0,0,1
000006,MWS月額ご利用料金(分割ご精算分),0,0,1,1,個,0,,,,0000,0099,0000,0000,0000,0,0,0,0,22000,0,22000,22000,0,0,0,0000,,0,0,00,00,0,0,0,1,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000007,ｼｽﾃﾑ搬入設置料,0,0,1,0,件,0,,,,0030,0040,0008,0000,0000,2,0,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000008,ｿﾌﾄｵｰﾊﾞｰﾎｰﾙ代,0,0,1,0,件,0,,,,0030,0040,0008,0000,0000,2,0,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000009,ﾈｯﾄﾜｰｸ環境構築費(MICｽﾀｯﾌ作業),0,0,1,0,件,0,,,,0030,0040,0008,0000,0000,2,0,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,0,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
000010,ﾈｯﾄﾜｰｸ環境構築費(使用禁止),0,0,1,0,件,0,20190801役務項目変更により禁止,,,0030,0099,0008,0000,0000,2,0,0,0,0,0,0,0,0,0,0,0000,,0,0,00,00,0,0,0,1,,,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,0,1,0,0,0,1
